unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,DTP1,67,67,64,70,69,77,73,73,73,73,76,78,78,72,72,75,76,75,76,72,66,62,59,48
ECAR,ALB,Albania,DTP1,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,97,98,97,98
MENA,DZA,Algeria,DTP1,98,91,92,94,95,96,95,96,99,99,99,99,99,99,98,97,98,98,94,93,93,93,92,95
Non-programme,AND,Andorra,DTP1,99,99,99,99,99,99,99,99,99,99,96,99,99,99,99,99,96,96,99,99,99,99,96,99
ESAR,AGO,Angola,DTP1,69,53,57,61,67,74,68,74,72,69,67,66,68,68,68,69,69,66,62,75,68,65,57,44
LACR,ATG,Antigua and Barbuda,DTP1,99,99,93,98,98,99,96,97,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98
LACR,ARG,Argentina,DTP1,77,90,88,79,87,91,91,93,94,98,94,94,94,95,94,97,94,93,99,99,96,96,96,96
ECAR,ARM,Armenia,DTP1,96,96,96,96,96,96,97,97,97,97,97,98,98,98,97,96,96,95,96,97,98,98,98,97
Non-programme,AUS,Australia,DTP1,98,98,98,98,98,98,98,98,97,92,92,92,92,97,97,97,97,97,97,97,97,97,97,96
Non-programme,AUT,Austria,DTP1,91,91,96,95,93,90,94,95,97,99,98,97,96,95,94,94,95,86,99,99,90,99,99,99
ECAR,AZE,Azerbaijan,DTP1,92,90,92,85,96,96,97,98,97,96,95,94,94,94,90,90,87,86,81,84,83,82,83,83
LACR,BHS,Bahamas,DTP1,99,98,91,97,91,94,98,95,99,96,99,99,99,99,99,99,98,95,99,99,99,99,99,99
MENA,BHR,Bahrain,DTP1,99,97,99,99,99,99,98,99,98,99,99,99,99,99,98,98,97,99,99,99,99,99,99,98
ROSA,BGD,Bangladesh,DTP1,99,99,99,99,99,99,99,99,99,99,98,97,99,98,99,99,98,97,97,99,93,95,94,92
LACR,BRB,Barbados,DTP1,91,87,83,86,92,96,90,99,99,98,97,96,95,94,93,85,93,94,97,97,91,92,92,93
ECAR,BLR,Belarus,DTP1,98,98,98,97,98,98,97,99,99,97,99,98,99,99,98,98,99,99,99,99,74,99,99,99
Non-programme,BEL,Belgium,DTP1,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,97,97,97,97
LACR,BLZ,Belize,DTP1,85,91,83,79,99,97,89,98,97,96,96,99,98,99,99,98,98,98,98,98,98,97,97,96
WCAR,BEN,Benin,DTP1,79,79,80,80,81,82,83,84,82,86,86,89,85,87,89,91,94,89,84,85,86,87,88,89
ROSA,BTN,Bhutan,DTP1,99,98,99,96,99,98,99,99,99,99,97,97,98,94,97,97,98,97,97,92,96,95,96,96
LACR,BOL,Bolivia (Plurinational State of),DTP1,72,75,75,79,81,89,91,93,97,92,87,97,98,97,97,96,85,87,93,88,96,94,91,92
ECAR,BIH,Bosnia and Herzegovina,DTP1,85,85,85,84,87,89,92,90,89,92,94,95,94,95,95,95,96,94,95,93,93,86,94,90
ESAR,BWA,Botswana,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
LACR,BRA,Brazil,DTP1,96,84,74,88,79,87,92,95,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,BRN,Brunei Darussalam,DTP1,99,99,99,99,99,99,99,99,99,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99
ECAR,BGR,Bulgaria,DTP1,95,94,92,94,96,94,96,94,93,90,96,96,96,96,96,97,96,97,97,95,96,97,95,95
WCAR,BFA,Burkina Faso,DTP1,99,97,95,95,95,95,95,95,95,95,94,94,93,93,93,97,92,91,91,90,90,89,93,97
ESAR,BDI,Burundi,DTP1,89,93,96,98,97,94,94,97,97,98,98,98,99,99,99,98,99,99,96,95,93,91,90,88
WCAR,CPV,Cabo Verde,DTP1,93,93,93,93,96,99,97,96,97,99,93,98,99,99,99,99,99,98,97,96,95,95,94,94
EAPR,KHM,Cambodia,DTP1,93,92,92,92,93,93,93,94,94,94,94,97,95,93,99,95,87,85,85,92,74,60,65,78
WCAR,CMR,Cameroon,DTP1,81,76,76,74,72,74,80,84,81,81,81,85,88,92,88,93,90,87,85,80,79,75,70,66
Non-programme,CAN,Canada,DTP1,94,94,94,94,94,94,94,95,95,95,95,96,96,96,96,96,96,96,96,96,95,95,95,95
WCAR,CAF,Central African Republic,DTP1,54,54,54,54,54,54,54,54,57,60,35,66,69,67,65,65,65,64,64,64,65,65,65,60
WCAR,TCD,Chad,DTP1,84,82,79,74,69,63,55,55,59,63,58,57,55,55,45,47,50,58,46,35,45,45,44,45
LACR,CHL,Chile,DTP1,99,99,99,98,99,99,98,99,97,99,92,90,94,93,94,96,98,95,92,94,98,98,99,98
EAPR,CHN,China,DTP1,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,95,95,95,95,94
LACR,COL,Colombia,DTP1,90,91,90,92,95,92,94,93,93,91,97,91,95,96,97,97,97,98,97,90,94,93,82,91
ESAR,COM,Comoros,DTP1,80,85,80,78,81,80,84,83,81,83,85,91,92,81,89,85,79,78,77,85,82,96,85,85
WCAR,COG,Congo,DTP1,82,82,81,77,82,79,75,76,85,95,90,90,90,90,92,93,80,81,73,67,62,50,44,45
EAPR,COK,Cook Islands,DTP1,95,91,94,97,99,99,99,99,99,99,98,98,98,99,99,99,99,99,99,99,96,99,97,99
LACR,CRI,Costa Rica,DTP1,99,98,97,99,96,95,99,99,93,91,98,92,87,96,91,90,90,89,97,96,90,98,91,90
WCAR,CIV,Cote d'Ivoire,DTP1,83,78,78,77,87,93,93,98,96,92,83,93,74,87,95,89,93,95,83,73,71,76,81,85
ECAR,HRV,Croatia,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,97,96,96,96,96,98,99,94,95
LACR,CUB,Cuba,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,96,98,96,97,98,99,89,90,99,99,98
Non-programme,CYP,Cyprus,DTP1,98,98,98,98,98,99,98,98,98,98,98,98,98,99,99,98,98,98,98,98,98,98,98,98
Non-programme,CZE,Czechia,DTP1,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,PRK,Democratic People's Republic of Korea,DTP1,41,41,42,98,98,99,98,97,97,94,94,97,95,94,94,93,93,91,83,75,70,65,63,61
WCAR,COD,Democratic Republic of the Congo,DTP1,80,81,81,83,84,82,82,81,81,81,78,78,78,68,78,76,73,71,68,66,53,47,49,49
Non-programme,DNK,Denmark,DTP1,98,98,98,97,97,97,99,97,96,96,97,97,94,93,90,89,87,93,93,95,98,99,97,98
MENA,DJI,Djibouti,DTP1,77,70,70,76,90,91,83,74,90,93,87,85,89,90,90,90,92,76,73,81,76,72,65,66
LACR,DMA,Dominica,DTP1,99,96,95,99,99,99,98,99,99,99,98,98,99,99,99,96,98,98,99,99,99,99,99,99
LACR,DOM,Dominican Republic,DTP1,99,99,99,86,96,98,99,98,99,95,91,92,91,96,85,86,87,93,92,87,88,92,95,91
LACR,ECU,Ecuador,DTP1,74,74,78,74,85,86,95,94,80,84,87,88,89,91,98,98,98,96,96,95,95,95,95,94
MENA,EGY,Egypt,DTP1,98,97,97,95,96,96,95,96,94,96,97,94,97,97,97,98,98,98,98,98,98,98,99,98
LACR,SLV,El Salvador,DTP1,96,96,97,98,96,91,97,99,97,98,97,97,90,90,97,99,99,98,96,96,98,93,97,99
WCAR,GNQ,Equatorial Guinea,DTP1,80,76,76,76,77,77,77,77,64,77,73,68,64,59,60,60,61,61,62,62,63,63,64,64
ESAR,ERI,Eritrea,DTP1,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,98,98,99,99,97,94,91,88
Non-programme,EST,Estonia,DTP1,91,91,91,92,92,93,94,94,94,95,96,96,96,96,97,97,98,98,99,98,99,99,99,96
ESAR,SWZ,Eswatini,DTP1,89,99,86,87,96,96,96,96,96,99,99,97,98,95,95,96,95,95,95,95,95,95,95,94
ESAR,ETH,Ethiopia,DTP1,77,70,70,76,76,77,76,75,74,73,67,74,80,77,74,71,67,64,61,58,55,52,50,47
EAPR,FJI,Fiji,DTP1,99,99,99,99,97,95,92,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97
Non-programme,FIN,Finland,DTP1,97,97,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99
Non-programme,FRA,France,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
WCAR,GAB,Gabon,DTP1,73,65,76,69,77,78,81,83,87,77,80,86,82,82,81,85,86,69,69,69,69,69,69,69
WCAR,GMB,Gambia,DTP1,84,85,82,88,93,94,93,99,99,98,99,99,99,99,98,96,98,98,95,96,97,96,97,97
ECAR,GEO,Georgia,DTP1,96,95,97,95,99,99,98,97,97,99,99,94,98,99,99,99,99,99,91,88,95,96,97,89
Non-programme,DEU,Germany,DTP1,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,98,98,97,97,97,96
WCAR,GHA,Ghana,DTP1,99,99,99,94,97,97,99,94,97,99,94,92,94,96,96,96,96,87,88,88,87,84,81,96
