unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ECAR,GRC,Greece,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,96,96,96,96,96
LACR,GRD,Grenada,DTP1,92,79,84,79,98,96,98,98,94,97,99,99,98,99,99,99,98,97,99,87,99,99,98,99
LACR,GTM,Guatemala,DTP1,94,94,91,99,96,94,98,99,99,91,98,98,94,96,95,99,88,95,97,98,96,93,93,94
WCAR,GIN,Guinea,DTP1,62,62,62,62,62,62,62,62,64,58,64,70,76,86,76,64,76,75,75,75,71,68,64,61
WCAR,GNB,Guinea-Bissau,DTP1,80,81,81,87,86,92,91,90,91,92,93,94,92,93,94,91,89,86,83,81,79,77,75,73
LACR,GUY,Guyana,DTP1,98,98,98,99,99,99,97,97,96,99,98,99,97,99,99,94,96,95,93,97,93,96,98,97
LACR,HTI,Haiti,DTP1,75,75,75,75,75,84,84,84,84,79,82,85,88,87,86,86,85,84,83,81,79,77,75,73
LACR,HND,Honduras,DTP1,74,80,82,85,89,93,92,98,99,99,99,98,99,99,99,97,94,96,99,98,97,98,98,98
Non-programme,HUN,Hungary,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,ISL,Iceland,DTP1,95,95,97,96,95,97,97,96,96,96,97,97,99,98,99,99,97,97,95,99,97,96,95,99
ROSA,IND,India,DTP1,93,95,88,87,94,93,92,91,90,90,90,89,89,86,84,81,81,81,82,77,76,75,75,74
EAPR,IDN,Indonesia,DTP1,85,92,74,83,90,90,90,90,90,93,97,90,88,89,88,88,85,86,85,84,84,83,82,84
MENA,IRN,Iran (Islamic Republic of),DTP1,99,99,98,99,99,99,99,99,99,99,98,99,99,99,99,99,99,98,97,99,99,99,96,99
MENA,IRQ,Iraq,DTP1,97,99,89,90,93,95,89,71,80,84,85,90,92,86,88,81,68,76,84,86,87,89,90,92
Non-programme,IRL,Ireland,DTP1,96,97,98,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,95,94,94,95
Non-programme,ISR,Israel,DTP1,99,99,99,99,99,99,99,94,95,95,96,94,94,95,96,94,95,95,93,95,95,95,95,95
Non-programme,ITA,Italy,DTP1,98,98,94,94,98,95,95,95,95,96,96,99,96,96,96,96,97,97,97,97,97,97,97,98
LACR,JAM,Jamaica,DTP1,98,99,93,97,97,99,95,99,97,97,97,98,94,98,91,97,97,96,99,99,98,99,99,97
Non-programme,JPN,Japan,DTP1,99,99,99,98,99,99,99,99,98,98,98,99,99,99,99,99,99,99,99,99,99,98,98,88
MENA,JOR,Jordan,DTP1,97,92,85,78,90,98,99,99,99,98,99,98,98,98,98,98,99,99,98,96,98,96,99,91
ECAR,KAZ,Kazakhstan,DTP1,99,99,98,94,99,99,99,93,99,96,99,99,99,99,98,99,97,99,99,85,99,96,96,98
ESAR,KEN,Kenya,DTP1,97,99,99,97,96,93,82,89,96,97,95,98,98,93,92,90,89,90,85,87,89,90,84,83
EAPR,KIR,Kiribati,DTP1,99,96,98,99,97,96,94,82,81,83,95,94,99,97,90,97,99,98,93,75,78,82,85,95
MENA,KWT,Kuwait,DTP1,99,99,99,99,99,99,99,99,99,97,99,99,99,98,99,99,99,99,99,99,99,99,99,98
ECAR,KGZ,Kyrgyzstan,DTP1,91,90,89,90,99,98,94,97,99,96,98,96,97,99,98,99,98,96,98,99,99,99,99,99
EAPR,LAO,Lao People's Democratic Republic,DTP1,90,87,85,87,86,91,91,88,88,88,84,84,82,81,76,73,59,68,68,66,72,64,59,83
Non-programme,LVA,Latvia,DTP1,98,99,96,99,99,97,98,99,97,93,96,92,95,99,98,94,98,98,99,99,98,99,99,99
MENA,LBN,Lebanon,DTP1,78,88,88,87,93,93,94,95,95,96,95,92,91,87,86,95,83,84,83,83,83,85,88,90
ESAR,LSO,Lesotho,DTP1,92,92,92,92,92,92,92,92,89,94,98,98,97,97,96,96,96,96,95,95,95,89,83,87
WCAR,LBR,Liberia,DTP1,99,93,81,82,86,91,89,83,77,74,91,91,86,80,90,85,80,75,75,65,69,73,76,80
MENA,LBY,Libya,DTP1,74,74,74,74,74,74,99,98,98,96,98,99,99,98,98,98,98,98,98,99,99,97,96,97
Non-programme,LTU,Lithuania,DTP1,93,93,93,95,96,95,97,97,97,97,97,97,95,98,98,96,99,98,98,94,98,98,98,99
Non-programme,LUX,Luxembourg,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
ESAR,MDG,Madagascar,DTP1,74,66,66,78,77,77,71,74,71,77,76,78,80,78,80,84,92,93,88,82,79,76,75,74
ESAR,MWI,Malawi,DTP1,95,89,95,95,97,96,93,89,93,97,96,99,98,97,97,97,96,99,99,99,99,94,99,98
EAPR,MYS,Malaysia,DTP1,99,99,98,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,98,98,98,98,98,99
ROSA,MDV,Maldives,DTP1,99,99,97,99,99,99,99,99,99,99,99,99,97,97,99,99,99,98,99,98,98,98,99,98
WCAR,MLI,Mali,DTP1,78,78,79,75,81,82,82,82,78,73,69,75,80,81,82,85,89,91,96,94,91,87,78,61
Non-programme,MLT,Malta,DTP1,99,99,99,99,98,99,98,97,98,99,99,99,99,97,91,88,84,85,94,92,96,95,98,97
EAPR,MHL,Marshall Islands,DTP1,98,96,97,97,96,97,97,87,95,97,97,97,99,99,99,99,99,90,89,71,90,90,99,64
WCAR,MRT,Mauritania,DTP1,96,96,87,92,88,86,86,87,87,95,95,95,91,82,79,88,92,85,85,83,91,96,76,73
Non-programme,MUS,Mauritius,DTP1,97,96,93,94,97,98,96,97,98,97,99,99,99,99,99,99,97,99,99,98,99,96,92,88
LACR,MEX,Mexico,DTP1,89,93,83,77,84,90,93,96,99,95,90,99,99,96,98,98,99,99,99,99,99,99,99,99
EAPR,FSM,Micronesia (Federated States of),DTP1,98,92,95,98,97,97,97,95,95,97,98,97,96,90,97,87,86,83,98,81,97,87,90,92
Non-programme,MCO,Monaco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,MNG,Mongolia,DTP1,98,97,97,98,99,99,99,99,99,99,98,99,99,98,95,98,95,99,99,99,98,99,95,95
ECAR,MNE,Montenegro,DTP1,93,93,94,94,94,94,95,97,96,97,98,98,98,97,96,98,98,95,,,,,,
MENA,MAR,Morocco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,94,98,97,98
ESAR,MOZ,Mozambique,DTP1,90,81,76,83,90,90,90,90,90,90,90,91,91,91,89,87,85,86,87,88,89,88,86,84
EAPR,MMR,Myanmar,DTP1,80,81,45,87,93,95,94,94,94,92,90,89,88,93,93,88,89,86,76,86,80,81,81,87
ESAR,NAM,Namibia,DTP1,88,90,98,97,92,94,94,90,98,92,94,89,88,87,87,88,88,91,93,88,87,86,88,90
EAPR,NRU,Nauru,DTP1,99,99,99,99,99,99,99,99,98,99,99,98,99,99,99,99,99,98,90,93,97,99,98,85
ROSA,NPL,Nepal,DTP1,96,95,92,89,96,96,96,95,94,94,94,90,96,85,94,84,85,93,81,88,82,84,84,84
Non-programme,NLD,Netherlands (Kingdom of the),DTP1,97,97,98,98,98,97,98,98,98,98,99,99,99,99,99,99,99,98,98,99,99,99,99,99
Non-programme,NZL,New Zealand,DTP1,93,94,93,94,94,95,95,92,93,93,93,94,95,95,94,91,91,92,92,91,91,90,96,96
LACR,NIC,Nicaragua,DTP1,89,94,88,94,99,99,99,99,99,99,99,99,99,99,99,99,94,94,92,80,86,88,92,97
WCAR,NER,Niger,DTP1,94,96,94,93,92,91,95,92,93,95,89,87,86,83,81,76,68,63,58,56,53,51,48,46
WCAR,NGA,Nigeria,DTP1,70,70,70,70,72,69,65,62,49,48,49,51,56,60,73,63,52,49,48,46,45,43,42,42
EAPR,NIU,Niue,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,99,99,99,99,99
ECAR,MKD,North Macedonia,DTP1,92,92,89,93,98,98,97,97,98,98,99,98,97,97,96,96,95,95,99,96,99,99,95,98
Non-programme,NOR,Norway,DTP1,99,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
MENA,OMN,Oman,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99
ROSA,PAK,Pakistan,DTP1,94,93,90,87,90,87,83,82,82,80,78,78,77,67,67,69,70,72,73,75,74,72,71,69
EAPR,PLW,Palau,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,98
LACR,PAN,Panama,DTP1,88,98,98,93,97,97,96,96,96,96,93,99,98,96,95,93,97,96,95,98,99,99,99,99
EAPR,PNG,Papua New Guinea,DTP1,45,47,41,50,44,44,46,64,62,68,71,71,70,70,71,64,72,83,80,81,88,81,77,84
LACR,PRY,Paraguay,DTP1,79,82,79,84,88,91,95,94,96,95,97,94,95,95,94,96,99,99,97,94,95,95,96,95
LACR,PER,Peru,DTP1,92,93,90,93,97,97,96,96,97,98,97,99,94,97,97,97,93,96,94,93,98,98,91,99
EAPR,PHL,Philippines,DTP1,91,87,70,87,87,87,87,87,82,86,90,94,93,92,92,91,90,90,91,92,86,84,92,92
Non-programme,POL,Poland,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,PRT,Portugal,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,97,99,97,99,99,99,94,98,99,98,99,99
MENA,QAT,Qatar,DTP1,99,99,99,96,99,99,98,99,99,99,99,95,94,98,99,97,96,99,99,99,96,96,95,92
Non-programme,KOR,Republic of Korea,DTP1,98,98,98,98,98,98,98,98,98,99,99,99,99,96,96,95,95,98,98,95,97,97,97,97
ECAR,MDA,Republic of Moldova,DTP1,87,89,87,86,91,96,91,94,88,94,96,97,96,93,88,96,95,97,98,99,99,99,97,98
ECAR,ROU,Romania,DTP1,82,89,97,95,96,94,94,94,95,95,95,95,96,96,96,96,97,97,97,97,98,98,99,99
Non-programme,RUS,Russian Federation,DTP1,97,97,97,97,97,97,97,97,97,97,97,97,97,97,99,99,99,99,99,97,97,97,97,97
ESAR,RWA,Rwanda,DTP1,99,98,96,95,99,98,99,99,99,99,99,99,98,98,98,97,99,99,95,94,97,95,94,93
LACR,KNA,Saint Kitts and Nevis,DTP1,98,96,97,99,98,99,99,99,98,99,98,99,99,98,99,99,99,99,99,98,99,99,99,99
LACR,LCA,Saint Lucia,DTP1,96,92,89,90,99,99,89,95,99,99,99,99,99,98,99,99,99,94,99,99,90,99,99,76
LACR,VCT,Saint Vincent and the Grenadines,DTP1,98,99,97,99,99,97,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99
EAPR,WSM,Samoa,DTP1,99,97,96,99,97,67,78,90,85,86,88,88,91,91,86,48,85,80,87,91,96,99,99,99
Non-programme,SMR,San Marino,DTP1,93,93,91,92,90,94,88,93,87,87,88,91,94,91,91,91,92,93,97,96,97,98,98,98
WCAR,STP,Sao Tome and Principe,DTP1,86,92,97,97,97,97,96,97,98,98,99,98,98,98,99,99,99,99,99,99,98,94,97,89
MENA,SAU,Saudi Arabia,DTP1,97,98,97,96,96,96,99,98,98,99,98,98,99,98,98,98,97,97,97,96,96,97,99,95
WCAR,SEN,Senegal,DTP1,91,97,92,99,98,96,97,96,94,94,96,96,97,96,94,94,97,99,97,95,81,70,79,79
ECAR,SRB,Serbia,DTP1,97,97,96,97,99,98,98,97,98,97,98,97,98,97,98,98,98,97,99,91,91,98,95,97
Non-programme,SYC,Seychelles,DTP1,98,99,99,99,99,99,98,98,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99
WCAR,SLE,Sierra Leone,DTP1,92,92,94,93,95,97,98,97,95,88,98,98,97,95,94,84,77,79,80,82,90,89,58,64
Non-programme,SGP,Singapore,DTP1,98,99,99,99,99,98,98,98,98,98,98,98,97,98,98,98,98,96,96,96,96,98,98,98
Non-programme,SVK,Slovakia,DTP1,96,97,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,SVN,Slovenia,DTP1,92,92,92,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,98,98,98,96,96,96
EAPR,SLB,Solomon Islands,DTP1,92,99,95,98,99,86,87,99,93,83,88,96,97,90,88,85,93,99,93,91,86,82,84,95
ESAR,SOM,Somalia,DTP1,52,52,52,52,52,52,52,52,52,52,52,52,52,55,52,40,59,40,50,50,65,60,57,57
ESAR,ZAF,South Africa,DTP1,81,87,91,88,87,84,85,88,91,88,81,72,80,80,81,93,95,94,83,80,77,80,82,85
ESAR,SSD,South Sudan,DTP1,76,76,73,71,68,67,59,51,55,62,67,76,79,,,,,,,,,,,
Non-programme,ESP,Spain,DTP1,97,98,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
ROSA,LKA,Sri Lanka,DTP1,99,98,96,96,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,98,99,99,99,99
MENA,PSE,State of Palestine,DTP1,88,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,97,95
MENA,SDN,Sudan,DTP1,57,75,93,98,99,99,99,99,98,99,99,99,99,99,92,96,95,91,88,82,83,75,79,75
LACR,SUR,Suriname,DTP1,82,83,81,60,81,83,78,80,74,78,81,90,84,96,91,95,96,94,93,92,81,86,90,88
Non-programme,SWE,Sweden,DTP1,96,96,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,CHE,Switzerland,DTP1,97,97,97,98,98,98,98,98,97,97,96,96,98,95,95,95,95,95,95,95,95,95,95,95
MENA,SYR,Syrian Arab Republic,DTP1,72,69,70,70,77,72,68,66,67,70,60,73,86,89,89,88,88,88,88,89,90,92,90,90
ECAR,TJK,Tajikistan,DTP1,98,98,97,98,98,98,98,98,97,98,98,96,98,95,96,92,88,92,92,93,92,92,89,88
EAPR,THA,Thailand,DTP1,96,96,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98
EAPR,TLS,Timor-Leste,DTP1,89,89,89,90,91,92,92,86,80,81,87,84,70,76,77,85,76,71,64,65,65,68,,
WCAR,TGO,Togo,DTP1,92,88,88,87,90,88,88,89,88,89,94,94,94,97,93,92,94,91,91,83,83,75,63,80
EAPR,TON,Tonga,DTP1,99,99,99,99,99,99,99,97,99,99,99,95,99,99,99,99,99,99,99,99,99,96,99,99
LACR,TTO,Trinidad and Tobago,DTP1,99,97,95,98,97,99,96,97,98,93,94,97,96,96,95,91,90,93,98,98,93,98,91,90
MENA,TUN,Tunisia,DTP1,99,99,99,99,98,98,99,99,98,98,99,99,98,98,99,99,99,99,98,97,96,96,99,99
ECAR,TUR,Turkiye,DTP1,99,99,95,99,99,99,98,99,98,97,99,97,98,98,97,97,98,92,92,86,76,82,95,92
ECAR,TKM,Turkmenistan,DTP1,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,98,99,99,99,98,96,99,96,97
EAPR,TUV,Tuvalu,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,99,99,99,99,99,99,99,99,93
ESAR,UGA,Uganda,DTP1,95,94,97,94,96,97,99,99,97,93,92,92,91,87,96,87,93,85,90,88,86,84,82,80
ECAR,UKR,Ukraine,DTP1,93,78,91,93,89,85,65,42,59,59,76,76,50,52,71,90,99,99,99,99,99,99,99,99
MENA,ARE,United Arab Emirates,DTP1,98,98,96,90,99,99,97,99,99,99,98,96,95,94,95,96,97,97,97,96,96,96,96,96
Non-programme,GBR,United Kingdom,DTP1,97,97,97,97,97,98,98,98,98,98,98,98,98,98,97,97,97,97,97,97,97,97,97,97
ESAR,TZA,United Republic of Tanzania,DTP1,98,98,90,95,95,91,93,95,97,99,99,99,96,98,90,88,89,94,95,99,99,96,95,92
Non-programme,USA,United States,DTP1,98,98,97,97,97,97,97,98,98,98,98,97,98,98,98,99,99,99,99,99,99,97,98,99
LACR,URY,Uruguay,DTP1,98,99,98,98,99,96,97,97,99,99,98,98,99,98,99,98,98,99,99,98,98,99,99,92
ECAR,UZB,Uzbekistan,DTP1,99,99,99,96,96,99,99,99,99,99,99,99,99,99,99,99,98,96,99,99,99,99,99,99
EAPR,VUT,Vanuatu,DTP1,90,83,71,84,96,94,92,94,90,94,92,90,88,86,84,82,80,78,79,80,82,83,84,85
LACR,VEN,Venezuela (Bolivarian Republic of),DTP1,65,56,73,73,85,84,95,97,98,88,90,90,90,90,86,87,70,79,98,93,88,79,82,92
EAPR,VNM,Viet Nam,DTP1,80,92,87,96,96,78,98,96,98,95,83,99,97,93,97,97,92,94,98,98,99,85,99,97
MENA,YEM,Yemen,DTP1,57,70,67,64,65,60,64,67,70,77,79,77,79,84,84,85,88,86,88,89,77,72,87,88
ESAR,ZMB,Zambia,DTP1,83,86,94,88,94,94,95,96,97,96,86,86,87,92,96,95,93,92,92,93,93,94,94,94
ESAR,ZWE,Zimbabwe,DTP1,93,93,93,93,94,94,94,94,94,98,98,99,99,95,87,89,86,83,80,77,79,81,83,84
