unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,CZE,Czechia,DTP3,94,94,94,97,97,97,96,96,97,97,98,99,99,99,99,99,99,98,97,98,97,98,98,98
EAPR,PRK,Democratic People's Republic of Korea,DTP3,16,0,41,97,97,97,97,96,96,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56
WCAR,COD,Democratic Republic of the Congo,DTP3,60,65,65,70,73,71,71,70,70,73,71,71,70,60,71,68,65,62,60,54,41,38,30,40
Non-programme,DNK,Denmark,DTP3,97,97,97,97,97,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97
MENA,DJI,Djibouti,DTP3,72,59,59,70,85,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46
LACR,DMA,Dominica,DTP3,56,82,92,96,99,94,91,99,98,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99
LACR,DOM,Dominican Republic,DTP3,90,88,84,82,89,87,84,87,85,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78
LACR,ECU,Ecuador,DTP3,70,70,72,70,85,85,85,83,78,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87
MENA,EGY,Egypt,DTP3,96,97,96,94,95,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98
LACR,SLV,El Salvador,DTP3,96,95,97,89,96,89,92,98,94,94,92,93,89,89,91,98,99,96,89,90,94,81,92,99
WCAR,GNQ,Equatorial Guinea,DTP3,74,70,67,64,62,59,56,53,40,53,53,54,54,54,52,50,48,46,44,43,41,39,37,35
ESAR,ERI,Eritrea,DTP3,95,95,95,95,95,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,93,90,86,81
Non-programme,EST,Estonia,DTP3,90,90,90,91,91,92,93,93,93,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93
ESAR,SWZ,Eswatini,DTP3,85,97,77,83,90,90,90,90,90,98,98,95,91,89,88,88,87,87,86,86,85,85,84,84
